Professions,Age,Sex,Initial Country of Qualifications,Year,Number of Practitioners
Chinese Medicine Practitioners,65-74,Male,Other overseas,2013 ,62
Chinese Medicine Practitioners,65-74,Male,Not stated,2013 ,7
Chinese Medicine Practitioners,65-74,Female,Australia,2013 ,43
Chinese Medicine Practitioners,65-74,Female,New Zealand,2013 ,0
Chinese Medicine Practitioners,65-74,Female,Other overseas,2013 ,24
Chinese Medicine Practitioners,65-74,Female,Not stated,2013 ,4
Chinese Medicine Practitioners,75-99,Male,Australia,2013 ,13
Chinese Medicine Practitioners,75-99,Male,Other overseas,2013 ,13
Chinese Medicine Practitioners,75-99,Male,Not stated,2013 ,3
Chinese Medicine Practitioners,75-99,Female,Australia,2013 ,3
Chinese Medicine Practitioners,75-99,Female,Other overseas,2013 ,6
Chinese Medicine Practitioners,75-99,Female,Not stated,2013 ,3
Dental Practitioners,20-34,Male,Australia,2013 ,1533
Dental Practitioners,20-34,Male,New Zealand,2013 ,146
Dental Practitioners,20-34,Male,Other overseas,2013 ,439
Dental Practitioners,20-34,Male,Not stated,2013 ,295
Dental Practitioners,20-34,Female,Australia,2013 ,2367
Dental Practitioners,20-34,Female,New Zealand,2013 ,178
Dental Practitioners,20-34,Female,Other overseas,2013 ,559
Dental Practitioners,20-34,Female,Not stated,2013 ,462
Dental Practitioners,35-44,Male,Australia,2013 ,1323
Dental Practitioners,35-44,Male,New Zealand,2013 ,84
Dental Practitioners,35-44,Male,Other overseas,2013 ,493
Dental Practitioners,35-44,Male,Not stated,2013 ,77
Dental Practitioners,35-44,Female,Australia,2013 ,1390
Dental Practitioners,35-44,Female,New Zealand,2013 ,84
Dental Practitioners,35-44,Female,Other overseas,2013 ,568
Dental Practitioners,35-44,Female,Not stated,2013 ,72
Dental Practitioners,45-54,Male,Australia,2013 ,1707
Dental Practitioners,45-54,Male,New Zealand,2013 ,69
Dental Practitioners,45-54,Male,Other overseas,2013 ,331
Dental Practitioners,45-54,Male,Not stated,2013 ,54
Dental Practitioners,45-54,Female,Australia,2013 ,1316
Dental Practitioners,45-54,Female,New Zealand,2013 ,48
Dental Practitioners,45-54,Female,Other overseas,2013 ,328
Dental Practitioners,45-54,Female,Not stated,2013 ,22
Dental Practitioners,55-64,Male,Australia,2013 ,1680
Dental Practitioners,55-64,Male,New Zealand,2013 ,71
Dental Practitioners,55-64,Male,Other overseas,2013 ,302
Dental Practitioners,55-64,Male,Not stated,2013 ,51
Dental Practitioners,55-64,Female,Australia,2013 ,626
Dental Practitioners,55-64,Female,New Zealand,2013 ,41
Dental Practitioners,55-64,Female,Other overseas,2013 ,142
Dental Practitioners,55-64,Female,Not stated,2013 ,21
Dental Practitioners,65-74,Male,Australia,2013 ,597
Dental Practitioners,65-74,Male,New Zealand,2013 ,35
Dental Practitioners,65-74,Male,Other overseas,2013 ,120
Dental Practitioners,65-74,Male,Not stated,2013 ,26
Dental Practitioners,65-74,Female,Australia,2013 ,32
Dental Practitioners,65-74,Female,New Zealand,2013 ,6
Dental Practitioners,65-74,Female,Other overseas,2013 ,26
Dental Practitioners,65-74,Female,Not stated,2013 ,3
Dental Practitioners,75-99,Male,Australia,2013 ,92
Dental Practitioners,75-99,Male,New Zealand,2013 ,4
Dental Practitioners,75-99,Male,Other overseas,2013 ,16
Dental Practitioners,75-99,Male,Not stated,2013 ,9
Dental Practitioners,75-99,Female,Australia,2013 ,3
Medical Practitioners,20-34,Male,Australia,2013 ,5990
Medical Practitioners,20-34,Male,New Zealand,2013 ,277
Medical Practitioners,20-34,Male,Other overseas,2013 ,1562
Medical Practitioners,20-34,Male,Not stated,2013 ,1247
Medical Practitioners,20-34,Female,Australia,2013 ,7072
Medical Practitioners,20-34,Female,New Zealand,2013 ,258
Medical Practitioners,20-34,Female,Other overseas,2013 ,1498
Medical Practitioners,20-34,Female,Not stated,2013 ,1173
Medical Practitioners,35-44,Male,Australia,2013 ,6628
Medical Practitioners,35-44,Male,New Zealand,2013 ,430
Medical Practitioners,35-44,Male,Other overseas,2013 ,4287
Medical Practitioners,35-44,Male,Not stated,2013 ,1513
Medical Practitioners,35-44,Female,Australia,2013 ,5415
Medical Practitioners,35-44,Female,New Zealand,2013 ,278
Medical Practitioners,35-44,Female,Other overseas,2013 ,2783
Medical Practitioners,35-44,Female,Not stated,2013 ,810
Medical Practitioners,45-54,Male,Australia,2013 ,7070
Medical Practitioners,45-54,Male,New Zealand,2013 ,324
Medical Practitioners,45-54,Male,Other overseas,2013 ,3768
Medical Practitioners,45-54,Male,Not stated,2013 ,684
Medical Practitioners,45-54,Female,Australia,2013 ,4373
Medical Practitioners,45-54,Female,New Zealand,2013 ,165
Medical Practitioners,45-54,Female,Other overseas,2013 ,2396
Medical Practitioners,45-54,Female,Not stated,2013 ,297
Medical Practitioners,55-64,Male,Australia,2013 ,7025
Medical Practitioners,55-64,Male,New Zealand,2013 ,223
Medical Practitioners,55-64,Male,Other overseas,2013 ,2368
Medical Practitioners,55-64,Male,Not stated,2013 ,376
Medical Practitioners,55-64,Female,Australia,2013 ,2792
Medical Practitioners,55-64,Female,New Zealand,2013 ,86
Medical Practitioners,55-64,Female,Other overseas,2013 ,1027
Medical Practitioners,55-64,Female,Not stated,2013 ,127
Medical Practitioners,65-74,Male,Australia,2013 ,3667
Medical Practitioners,65-74,Male,New Zealand,2013 ,107
Medical Practitioners,65-74,Male,Other overseas,2013 ,1445
Medical Practitioners,65-74,Male,Not stated,2013 ,201
Medical Practitioners,65-74,Female,Australia,2013 ,627
Medical Practitioners,65-74,Female,New Zealand,2013 ,14
Medical Practitioners,65-74,Female,Other overseas,2013 ,355
Medical Practitioners,65-74,Female,Not stated,2013 ,45
Medical Practitioners,75-99,Male,Australia,2013 ,913
Medical Practitioners,75-99,Male,New Zealand,2013 ,31
Medical Practitioners,75-99,Male,Other overseas,2013 ,372
Medical Practitioners,75-99,Male,Not stated,2013 ,152
Medical Practitioners,75-99,Female,Australia,2013 ,67
Medical Practitioners,75-99,Female,New Zealand,2013 ,3
Medical Practitioners,75-99,Female,Other overseas,2013 ,60
Medical Practitioners,75-99,Female,Not stated,2013 ,28
Medical Radiation Practitioners,20-34,Male,Australia,2013 ,1475
Medical Radiation Practitioners,20-34,Male,New Zealand,2013 ,16
Medical Radiation Practitioners,20-34,Male,Other overseas,2013 ,33
Medical Radiation Practitioners,20-34,Male,Not stated,2013 ,137
Medical Radiation Practitioners,20-34,Female,Australia,2013 ,2956
Medical Radiation Practitioners,20-34,Female,New Zealand,2013 ,135
Medical Radiation Practitioners,20-34,Female,Other overseas,2013 ,151
Medical Radiation Practitioners,20-34,Female,Not stated,2013 ,251
Medical Radiation Practitioners,35-44,Male,Australia,2013 ,831
Medical Radiation Practitioners,35-44,Male,New Zealand,2013 ,25
Medical Radiation Practitioners,35-44,Male,Other overseas,2013 ,87
Medical Radiation Practitioners,35-44,Male,Not stated,2013 ,42
Medical Radiation Practitioners,35-44,Female,Australia,2013 ,1385
Medical Radiation Practitioners,35-44,Female,New Zealand,2013 ,73
Medical Radiation Practitioners,35-44,Female,Other overseas,2013 ,254
Medical Radiation Practitioners,35-44,Female,Not stated,2013 ,67
Medical Radiation Practitioners,45-54,Male,Australia,2013 ,569
Medical Radiation Practitioners,45-54,Male,New Zealand,2013 ,25
Medical Radiation Practitioners,45-54,Male,Other overseas,2013 ,117
Medical Radiation Practitioners,45-54,Male,Not stated,2013 ,35
Medical Radiation Practitioners,45-54,Female,Australia,2013 ,909
Medical Radiation Practitioners,45-54,Female,New Zealand,2013 ,87
Medical Radiation Practitioners,45-54,Female,Other overseas,2013 ,309
Medical Radiation Practitioners,45-54,Female,Not stated,2013 ,57
Medical Radiation Practitioners,55-64,Male,Australia,2013 ,373
Medical Radiation Practitioners,55-64,Male,New Zealand,2013 ,19
Medical Radiation Practitioners,55-64,Male,Other overseas,2013 ,90
Medical Radiation Practitioners,55-64,Male,Not stated,2013 ,18
Medical Radiation Practitioners,55-64,Female,Australia,2013 ,643
Medical Radiation Practitioners,55-64,Female,New Zealand,2013 ,51
Medical Radiation Practitioners,55-64,Female,Other overseas,2013 ,276
Medical Radiation Practitioners,55-64,Female,Not stated,2013 ,35
Medical Radiation Practitioners,65-74,Male,Australia,2013 ,56
Medical Radiation Practitioners,65-74,Male,New Zealand,2013 ,3
Medical Radiation Practitioners,65-74,Male,Other overseas,2013 ,30
Medical Radiation Practitioners,65-74,Male,Not stated,2013 ,4
Medical Radiation Practitioners,65-74,Female,Australia,2013 ,75
Medical Radiation Practitioners,65-74,Female,New Zealand,2013 ,10
Medical Radiation Practitioners,65-74,Female,Other overseas,2013 ,44
Medical Radiation Practitioners,65-74,Female,Not stated,2013 ,4
Medical Radiation Practitioners,75-99,Male,Australia,2013 ,0
Medical Radiation Practitioners,75-99,Male,Other overseas,2013 ,0
Medical Radiation Practitioners,75-99,Female,Australia,2013 ,0
Medical Radiation Practitioners,75-99,Female,New Zealand,2013 ,0
Medical Radiation Practitioners,75-99,Female,Other overseas,2013 ,0
Nurses and Midwives,20-34,Male,Not stated,2013 ,8362
Nurses and Midwives,20-34,Female,Not stated,2013 ,63823
Nurses and Midwives,20-34,Not stated,Not stated,2013 ,0
Nurses and Midwives,35-44,Male,Not stated,2013 ,8571
Nurses and Midwives,35-44,Female,Not stated,2013 ,59690
Nurses and Midwives,45-54,Male,Not stated,2013 ,7817
Nurses and Midwives,45-54,Female,Not stated,2013 ,76169
Nurses and Midwives,55-64,Male,Not stated,2013 ,5444
Nurses and Midwives,55-64,Female,Not stated,2013 ,56058
Nurses and Midwives,65-74,Male,Not stated,2013 ,595
Nurses and Midwives,65-74,Female,Not stated,2013 ,8256
Nurses and Midwives,75-99,Male,Not stated,2013 ,21
Nurses and Midwives,75-99,Female,Not stated,2013 ,254
Occupational Therapists,20-34,Male,Australia,2013 ,484
Occupational Therapists,20-34,Male,New Zealand,2013 ,6
Occupational Therapists,20-34,Male,Other overseas,2013 ,29
Occupational Therapists,20-34,Male,Not stated,2013 ,104
Occupational Therapists,20-34,Female,Australia,2013 ,5100
Occupational Therapists,20-34,Female,New Zealand,2013 ,130
Occupational Therapists,20-34,Female,Other overseas,2013 ,160
Occupational Therapists,20-34,Female,Not stated,2013 ,831
Occupational Therapists,35-44,Male,Australia,2013 ,288
Occupational Therapists,35-44,Male,New Zealand,2013 ,9
Occupational Therapists,35-44,Male,Other overseas,2013 ,23
Occupational Therapists,35-44,Male,Not stated,2013 ,15
Occupational Therapists,35-44,Female,Australia,2013 ,2500
Occupational Therapists,35-44,Female,New Zealand,2013 ,47
Occupational Therapists,35-44,Female,Other overseas,2013 ,201
Occupational Therapists,35-44,Female,Not stated,2013 ,162
Occupational Therapists,45-54,Male,Australia,2013 ,120
Occupational Therapists,45-54,Male,New Zealand,2013 ,5
Occupational Therapists,45-54,Male,Other overseas,2013 ,25
Occupational Therapists,45-54,Male,Not stated,2013 ,7
Occupational Therapists,45-54,Female,Australia,2013 ,1623
Occupational Therapists,45-54,Female,New Zealand,2013 ,45
Occupational Therapists,45-54,Female,Other overseas,2013 ,201
Occupational Therapists,45-54,Female,Not stated,2013 ,90
Occupational Therapists,55-64,Male,Australia,2013 ,41
Occupational Therapists,55-64,Male,New Zealand,2013 ,3
Occupational Therapists,55-64,Male,Other overseas,2013 ,19
Occupational Therapists,55-64,Male,Not stated,2013 ,3
Occupational Therapists,55-64,Female,Australia,2013 ,761
Occupational Therapists,55-64,Female,New Zealand,2013 ,27
Occupational Therapists,55-64,Female,Other overseas,2013 ,93
Occupational Therapists,55-64,Female,Not stated,2013 ,37
Occupational Therapists,65-74,Male,Australia,2013 ,5
Occupational Therapists,65-74,Male,New Zealand,2013 ,0
Occupational Therapists,65-74,Male,Other overseas,2013 ,0
Occupational Therapists,65-74,Female,Australia,2013 ,86
Occupational Therapists,65-74,Female,New Zealand,2013 ,8
Occupational Therapists,65-74,Female,Other overseas,2013 ,11
Occupational Therapists,65-74,Female,Not stated,2013 ,9
Occupational Therapists,75-99,Female,Australia,2013 ,0
Optometrists,20-34,Male,Australia,2013 ,383
Optometrists,20-34,Male,New Zealand,2013 ,63
Optometrists,20-34,Male,Other overseas,2013 ,21
Optometrists,20-34,Male,Not stated,2013 ,50
Optometrists,20-34,Female,Australia,2013 ,738
Optometrists,20-34,Female,New Zealand,2013 ,92
Optometrists,20-34,Female,Other overseas,2013 ,29
Optometrists,20-34,Female,Not stated,2013 ,96
Optometrists,35-44,Male,Australia,2013 ,429
Optometrists,35-44,Male,New Zealand,2013 ,24
Optometrists,35-44,Male,Other overseas,2013 ,48
Optometrists,35-44,Male,Not stated,2013 ,6
Optometrists,35-44,Female,Australia,2013 ,483
Optometrists,35-44,Female,New Zealand,2013 ,22
Optometrists,35-44,Female,Other overseas,2013 ,58
Optometrists,35-44,Female,Not stated,2013 ,4
Optometrists,45-54,Male,Australia,2013 ,496
Optometrists,45-54,Male,New Zealand,2013 ,10
Optometrists,45-54,Male,Other overseas,2013 ,72
Optometrists,45-54,Male,Not stated,2013 ,11
Optometrists,45-54,Female,Australia,2013 ,318
Optometrists,45-54,Female,New Zealand,2013 ,8
Optometrists,45-54,Female,Other overseas,2013 ,58
Optometrists,45-54,Female,Not stated,2013 ,3
Optometrists,55-64,Male,Australia,2013 ,379
Optometrists,55-64,Male,New Zealand,2013 ,8
Optometrists,55-64,Male,Other overseas,2013 ,54
Optometrists,55-64,Male,Not stated,2013 ,8
Optometrists,55-64,Female,Australia,2013 ,134
Optometrists,55-64,Female,New Zealand,2013 ,4
Optometrists,55-64,Female,Other overseas,2013 ,11
Optometrists,65-74,Male,Australia,2013 ,59
Optometrists,65-74,Male,New Zealand,2013 ,3
Optometrists,65-74,Male,Other overseas,2013 ,17
Optometrists,65-74,Male,Not stated,2013 ,0
Optometrists,65-74,Female,Australia,2013 ,5
Optometrists,65-74,Female,New Zealand,2013 ,0
Optometrists,65-74,Female,Other overseas,2013 ,3
Optometrists,75-99,Male,Australia,2013 ,10
Optometrists,75-99,Male,New Zealand,2013 ,3
Optometrists,75-99,Male,Other overseas,2013 ,0
Optometrists,75-99,Female,Other overseas,2013 ,0
Osteopaths,20-34,Male,Australia,2013 ,215
Osteopaths,20-34,Male,New Zealand,2013 ,7
Osteopaths,20-34,Male,Other overseas,2013 ,7
Osteopaths,20-34,Male,Not stated,2013 ,31
Osteopaths,20-34,Female,Australia,2013 ,419
Osteopaths,20-34,Female,New Zealand,2013 ,7
Osteopaths,20-34,Female,Other overseas,2013 ,6
Osteopaths,20-34,Female,Not stated,2013 ,51
Osteopaths,35-44,Male,Australia,2013 ,201
Osteopaths,35-44,Male,New Zealand,2013 ,3
Osteopaths,35-44,Male,Other overseas,2013 ,26
Osteopaths,35-44,Male,Not stated,2013 ,11
Osteopaths,35-44,Female,Australia,2013 ,191
Osteopaths,35-44,Female,New Zealand,2013 ,0
Osteopaths,35-44,Female,Other overseas,2013 ,15
Osteopaths,35-44,Female,Not stated,2013 ,9
Osteopaths,45-54,Male,Australia,2013 ,86
Osteopaths,45-54,Male,New Zealand,2013 ,3
Osteopaths,45-54,Male,Other overseas,2013 ,38
Osteopaths,45-54,Male,Not stated,2013 ,6
Osteopaths,45-54,Female,Australia,2013 ,42
Osteopaths,45-54,Female,Other overseas,2013 ,22
Osteopaths,45-54,Female,Not stated,2013 ,3
Osteopaths,55-64,Male,Australia,2013 ,95
Osteopaths,55-64,Male,New Zealand,2013 ,0
Osteopaths,55-64,Male,Other overseas,2013 ,24
Osteopaths,55-64,Male,Not stated,2013 ,0
Osteopaths,55-64,Female,Australia,2013 ,27
Osteopaths,55-64,Female,New Zealand,2013 ,0
Osteopaths,55-64,Female,Other overseas,2013 ,6
Osteopaths,55-64,Female,Not stated,2013 ,3
Osteopaths,65-74,Male,Australia,2013 ,31
Osteopaths,65-74,Male,New Zealand,2013 ,0
Osteopaths,65-74,Male,Other overseas,2013 ,7
Osteopaths,65-74,Male,Not stated,2013 ,3
Osteopaths,65-74,Female,Australia,2013 ,4
Osteopaths,65-74,Female,Other overseas,2013 ,0
Osteopaths,65-74,Female,Not stated,2013 ,0
Osteopaths,75-99,Male,Australia,2013 ,4
Osteopaths,75-99,Male,Other overseas,2013 ,0
Osteopaths,75-99,Female,Australia,2013 ,3
Osteopaths,75-99,Female,Other overseas,2013 ,0
Pharmacists,20-34,Male,Australia,2013 ,2992
Pharmacists,20-34,Male,New Zealand,2013 ,108
Pharmacists,20-34,Male,Other overseas,2013 ,312
Pharmacists,20-34,Male,Not stated,2013 ,340
Pharmacists,20-34,Female,Australia,2013 ,5716
Pharmacists,20-34,Female,New Zealand,2013 ,167
Pharmacists,20-34,Female,Other overseas,2013 ,258
Pharmacists,20-34,Female,Not stated,2013 ,539
Pharmacists,35-44,Male,Australia,2013 ,1522
Pharmacists,35-44,Male,New Zealand,2013 ,54
Pharmacists,35-44,Male,Other overseas,2013 ,307
Pharmacists,35-44,Male,Not stated,2013 ,55
Pharmacists,35-44,Female,Australia,2013 ,2241
Pharmacists,35-44,Female,New Zealand,2013 ,70
Pharmacists,35-44,Female,Other overseas,2013 ,319
Pharmacists,35-44,Female,Not stated,2013 ,63
Pharmacists,45-54,Male,Australia,2013 ,1100
Pharmacists,45-54,Male,New Zealand,2013 ,57
Pharmacists,45-54,Male,Other overseas,2013 ,202
Pharmacists,45-54,Male,Not stated,2013 ,30
Pharmacists,45-54,Female,Australia,2013 ,1492
Pharmacists,45-54,Female,New Zealand,2013 ,51
Pharmacists,45-54,Female,Other overseas,2013 ,307
Pharmacists,45-54,Female,Not stated,2013 ,33
Pharmacists,55-64,Male,Australia,2013 ,890
Pharmacists,55-64,Male,New Zealand,2013 ,49
Pharmacists,55-64,Male,Other overseas,2013 ,154
Pharmacists,55-64,Male,Not stated,2013 ,15
Pharmacists,55-64,Female,Australia,2013 ,1044
Pharmacists,55-64,Female,New Zealand,2013 ,25
Pharmacists,55-64,Female,Other overseas,2013 ,138
Pharmacists,55-64,Female,Not stated,2013 ,20
Pharmacists,65-74,Male,Australia,2013 ,587
Pharmacists,65-74,Male,New Zealand,2013 ,25
Pharmacists,65-74,Male,Other overseas,2013 ,52
Pharmacists,65-74,Male,Not stated,2013 ,26
Pharmacists,65-74,Female,Australia,2013 ,228
Pharmacists,65-74,Female,New Zealand,2013 ,6
Pharmacists,65-74,Female,Other overseas,2013 ,34
Pharmacists,65-74,Female,Not stated,2013 ,9
Pharmacists,75-99,Male,Australia,2013 ,142
Pharmacists,75-99,Male,New Zealand,2013 ,7
Pharmacists,75-99,Male,Other overseas,2013 ,8
Pharmacists,75-99,Male,Not stated,2013 ,11
Pharmacists,75-99,Female,Australia,2013 ,30
Pharmacists,75-99,Female,Other overseas,2013 ,3
Physiotherapists,20-34,Male,Australia,2013 ,2687
Physiotherapists,20-34,Male,New Zealand,2013 ,165
Physiotherapists,20-34,Male,Other overseas,2013 ,147
Physiotherapists,20-34,Male,Not stated,2013 ,461
Physiotherapists,20-34,Female,Australia,2013 ,5060
Physiotherapists,20-34,Female,New Zealand,2013 ,334
Physiotherapists,20-34,Female,Other overseas,2013 ,454
Physiotherapists,20-34,Female,Not stated,2013 ,712
Physiotherapists,35-44,Male,Australia,2013 ,1521
Physiotherapists,35-44,Male,New Zealand,2013 ,43
Physiotherapists,35-44,Male,Other overseas,2013 ,183
Physiotherapists,35-44,Male,Not stated,2013 ,38
Physiotherapists,35-44,Female,Australia,2013 ,2367
Physiotherapists,35-44,Female,New Zealand,2013 ,77
Physiotherapists,35-44,Female,Other overseas,2013 ,411
Physiotherapists,35-44,Female,Not stated,2013 ,55
Physiotherapists,45-54,Male,Australia,2013 ,880
Physiotherapists,45-54,Male,New Zealand,2013 ,22
Physiotherapists,45-54,Male,Other overseas,2013 ,100
Physiotherapists,45-54,Male,Not stated,2013 ,25
Physiotherapists,45-54,Female,Australia,2013 ,2151
Physiotherapists,45-54,Female,New Zealand,2013 ,59
Physiotherapists,45-54,Female,Other overseas,2013 ,409
Physiotherapists,45-54,Female,Not stated,2013 ,35
Physiotherapists,55-64,Male,Australia,2013 ,393
Physiotherapists,55-64,Male,New Zealand,2013 ,19
Physiotherapists,55-64,Male,Other overseas,2013 ,63
Physiotherapists,55-64,Male,Not stated,2013 ,11
Physiotherapists,55-64,Female,Australia,2013 ,1431
Physiotherapists,55-64,Female,New Zealand,2013 ,39
Physiotherapists,55-64,Female,Other overseas,2013 ,245
Physiotherapists,55-64,Female,Not stated,2013 ,28
Physiotherapists,65-74,Male,Australia,2013 ,51
Physiotherapists,65-74,Male,New Zealand,2013 ,0
Physiotherapists,65-74,Male,Other overseas,2013 ,15
Physiotherapists,65-74,Male,Not stated,2013 ,3
Physiotherapists,65-74,Female,Australia,2013 ,244
Physiotherapists,65-74,Female,New Zealand,2013 ,3
Physiotherapists,65-74,Female,Other overseas,2013 ,69
Physiotherapists,65-74,Female,Not stated,2013 ,8
Physiotherapists,75-99,Male,Australia,2013 ,6
Physiotherapists,75-99,Male,New Zealand,2013 ,3
Physiotherapists,75-99,Male,Other overseas,2013 ,3
Physiotherapists,75-99,Male,Not stated,2013 ,3
Physiotherapists,75-99,Female,Australia,2013 ,15
Physiotherapists,75-99,Female,Other overseas,2013 ,3
Physiotherapists,75-99,Female,Not stated,2013 ,0
Podiatrists,20-34,Male,Australia,2013 ,535
Podiatrists,20-34,Male,New Zealand,2013 ,27
Podiatrists,20-34,Male,Other overseas,2013 ,27
Podiatrists,20-34,Male,Not stated,2013 ,72
Podiatrists,20-34,Female,Australia,2013 ,856
Podiatrists,20-34,Female,New Zealand,2013 ,36
Podiatrists,20-34,Female,Other overseas,2013 ,51
Podiatrists,20-34,Female,Not stated,2013 ,118
Podiatrists,35-44,Male,Australia,2013 ,366
Podiatrists,35-44,Male,New Zealand,2013 ,11
Podiatrists,35-44,Male,Other overseas,2013 ,33
Podiatrists,35-44,Male,Not stated,2013 ,12
Podiatrists,35-44,Female,Australia,2013 ,465
Podiatrists,35-44,Female,New Zealand,2013 ,15
Podiatrists,35-44,Female,Other overseas,2013 ,68
Podiatrists,35-44,Female,Not stated,2013 ,15
Podiatrists,45-54,Male,Australia,2013 ,210
Podiatrists,45-54,Male,New Zealand,2013 ,12
Podiatrists,45-54,Male,Other overseas,2013 ,33
Podiatrists,45-54,Male,Not stated,2013 ,13
Podiatrists,45-54,Female,Australia,2013 ,337
Podiatrists,45-54,Female,New Zealand,2013 ,13
Podiatrists,45-54,Female,Other overseas,2013 ,43
